category,product_name,total_revenue,rank_in_category
Books,Spend Thank,111096.731,1
Books,They Than,105193.6635,2
Books,Certainly Send,76120.623,3
Books,Once Dream,76108.347,4
Books,Power Box,65395.4385,5
Books,Challenge Value,62084.1645,6
Books,Develop Civil,58851.952,7
Books,Amount Official,57170.098,8
Books,Win Compare,54819.504499999995,9
Books,Job Different,51173.866,10
Books,Say Door,49405.0635,11
Books,Democrat Billion,48169.8825,12
Books,Month Tend,45377.593,13
Books,Trip Successful,44004.424,14
Books,Start Born,43472.9865,15
Books,Congress Travel,38432.201,16
Books,Ago Yourself,37047.7225,17
Books,New Discussion,35202.976500000004,18
Books,Will Against,32781.0075,19
Books,Between Happen,32565.8315,20
Books,Paper Argue,22366.8425,21
Clothing,Toward Before,99236.47,1
Clothing,Yard Along,69595.3695,2
Clothing,Assume Tonight,55032.734000000004,3
Clothing,Remember Join,54832.498999999996,4
Clothing,Determine Two,54748.282999999996,5
Clothing,Well Whether,54192.749,6
Clothing,East Wear,51060.013499999994,7
Clothing,Yeah Good,44503.545,8
Clothing,Become Magazine,43075.5945,9
Clothing,Remember Bit,35138.0015,10
Clothing,Call Prevent,32083.4345,11
Clothing,Pay Building,31880.738,12
Clothing,Herself Seven,22516.626,13
Clothing,Real Box,21437.288,14
Clothing,Poor Wind,20888.785499999998,15
Electronics,Message Including,68418.073,1
Electronics,Interest Director,64067.098999999995,2
Electronics,Step Interesting,63978.389,3
Electronics,Drop Many,63794.6795,4
Electronics,Party Floor,63035.225,5
Electronics,Decade Late,62889.79,6
Electronics,Now Lawyer,62256.871,7
Electronics,Mother Visit,60287.466,8
Electronics,Production Several,59572.210499999994,9
Electronics,Soon Public,56697.977,10
Electronics,Similar Pm,53548.1,11
Electronics,Measure Certain,51267.086,12
Electronics,With Local,50206.644,13
Electronics,Create Language,50016.0575,14
Electronics,Piece Drug,46023.717000000004,15
Electronics,Both Finally,44660.874,16
Electronics,Chair Possible,42457.1065,17
Electronics,Gun Position,40786.771499999995,18
Electronics,Skill Join,38797.985499999995,19
Electronics,Similar Tend,36848.7145,20
Electronics,Marriage Election,36448.054,21
Electronics,Military Quite,28904.0185,22
Electronics,Natural Buy,18961.229499999998,23
Home,Leave Nothing,126308.279,1
Home,Central Rate,81862.963,2
Home,Free Land,68852.5615,3
Home,Any Next,67223.62,4
Home,Clear Well,64149.8205,5
Home,Yard Happy,52840.8495,6
Home,Mr I,52310.4095,7
Home,Job Travel,50388.501,8
Home,Technology One,47902.345,9
Home,Wish Phone,46800.1645,10
Home,Kitchen Realize,41483.455,11
Home,Later American,40843.9305,12
Home,Throw Industry,40343.5715,13
Home,Art Common,39581.2345,14
Home,Do Foreign,38076.320999999996,15
Home,To Still,33745.5925,16
Home,Course Particularly,31445.2845,17
Home,Discuss Identify,30163.783499999998,18
Home,Rather Action,29932.7555,19
Home,Camera Those,27779.6955,20
Home,Case Lay,13211.454000000002,21
